sample	path	group
T148326	data/bams/DPCh_plate2_D05_S125.rmdup.bam	SRW
T148347	data/bams/DPCh_plate2_D06_S126.rmdup.bam	SRW
T148333	data/bams/DPCh_plate2_E05_S133.rmdup.bam	SRW
T148350	data/bams/DPCh_plate2_E06_S134.rmdup.bam	SRW
T148335	data/bams/DPCh_plate2_F05_S141.rmdup.bam	SRW
T148351	data/bams/DPCh_plate2_F06_S142.rmdup.bam	SRW
T148337	data/bams/DPCh_plate2_G05_S149.rmdup.bam	SRW
T148352	data/bams/DPCh_plate2_G06_S150.rmdup.bam	SRW
T148340	data/bams/DPCh_plate2_H05_S157.rmdup.bam	SRW
T148353	data/bams/DPCh_plate2_H06_S158.rmdup.bam	SRW
